strain	generation	rep	condition	fractional abundance	meanab	sdab
CB4856	1	1	DMSO	0.469337979	52.57588042	5.157168843
CB4856	1	10	DMSO	0.575686733	52.57588042	5.157168843
CB4856	1	2	DMSO	0.519518212	52.57588042	5.157168843
CB4856	1	3	DMSO	0.491578535	52.57588042	5.157168843
CB4856	1	4	DMSO	0.508835673	52.57588042	5.157168843
CB4856	1	5	DMSO	0.474113241	52.57588042	5.157168843
CB4856	1	6	DMSO	0.5356623	52.57588042	5.157168843
CB4856	1	7	DMSO	0.48698072	52.57588042	5.157168843
CB4856	1	8	DMSO	0.630174375	52.57588042	5.157168843
CB4856	1	9	DMSO	0.565700274	52.57588042	5.157168843
CB4856	1	1	TBZ	0.37654321	37.31115334	5.106140752
CB4856	1	10	TBZ	0.265807612	37.31115334	5.106140752
CB4856	1	2	TBZ	0.376084345	37.31115334	5.106140752
CB4856	1	3	TBZ	0.36794048	37.31115334	5.106140752
CB4856	1	4	TBZ	0.390189932	37.31115334	5.106140752
CB4856	1	5	TBZ	0.454685395	37.31115334	5.106140752
CB4856	1	6	TBZ	0.402359804	37.31115334	5.106140752
CB4856	1	7	TBZ	0.315875204	37.31115334	5.106140752
CB4856	1	8	TBZ	0.400806994	37.31115334	5.106140752
CB4856	1	9	TBZ	0.380822358	37.31115334	5.106140752
N2	1	1	DMSO	0.425180599	46.14587586	5.556370152
N2	1	10	DMSO	0.452750353	46.14587586	5.556370152
N2	1	2	DMSO	0.369350863	46.14587586	5.556370152
N2	1	3	DMSO	0.406019957	46.14587586	5.556370152
N2	1	4	DMSO	0.545198932	46.14587586	5.556370152
N2	1	5	DMSO	0.532365314	46.14587586	5.556370152
N2	1	6	DMSO	0.430204859	46.14587586	5.556370152
N2	1	7	DMSO	0.489268121	46.14587586	5.556370152
N2	1	8	DMSO	0.491927512	46.14587586	5.556370152
N2	1	9	DMSO	0.472321076	46.14587586	5.556370152
N2	1	1	TBZ	0.457490451	46.47590468	3.523658175
N2	1	10	TBZ	0.422869653	46.47590468	3.523658175
N2	1	2	TBZ	0.401063663	46.47590468	3.523658175
N2	1	3	TBZ	0.448793737	46.47590468	3.523658175
N2	1	4	TBZ	0.467467949	46.47590468	3.523658175
N2	1	5	TBZ	0.508976318	46.47590468	3.523658175
N2	1	6	TBZ	0.469514668	46.47590468	3.523658175
N2	1	7	TBZ	0.471544715	46.47590468	3.523658175
N2	1	8	TBZ	0.483363751	46.47590468	3.523658175
N2	1	9	TBZ	0.516505563	46.47590468	3.523658175
PHX2701	1	1	DMSO	0.480748075	52.2733627	3.994458398
PHX2701	1	10	DMSO	0.561859612	52.2733627	3.994458398
PHX2701	1	2	DMSO	0.576072322	52.2733627	3.994458398
PHX2701	1	3	DMSO	0.515736415	52.2733627	3.994458398
PHX2701	1	4	DMSO	0.496644295	52.2733627	3.994458398
PHX2701	1	5	DMSO	0.528171182	52.2733627	3.994458398
PHX2701	1	6	DMSO	0.540309263	52.2733627	3.994458398
PHX2701	1	7	DMSO	0.560623275	52.2733627	3.994458398
PHX2701	1	8	DMSO	0.520004909	52.2733627	3.994458398
PHX2701	1	9	DMSO	0.447166922	52.2733627	3.994458398
PHX2701	1	1	TBZ	0.415930445	39.92275104	5.20198764
PHX2701	1	10	TBZ	0.320672659	39.92275104	5.20198764
PHX2701	1	2	TBZ	0.447013838	39.92275104	5.20198764
PHX2701	1	3	TBZ	0.368726731	39.92275104	5.20198764
PHX2701	1	4	TBZ	0.456125941	39.92275104	5.20198764
PHX2701	1	5	TBZ	0.397069251	39.92275104	5.20198764
PHX2701	1	6	TBZ	0.337659895	39.92275104	5.20198764
PHX2701	1	7	TBZ	0.385011021	39.92275104	5.20198764
PHX2701	1	8	TBZ	0.380536063	39.92275104	5.20198764
PHX2701	1	9	TBZ	0.48352926	39.92275104	5.20198764
PHX2882	1	1	DMSO	0.529235382	51.53312469	7.053213047
PHX2882	1	10	DMSO	0.633346608	51.53312469	7.053213047
PHX2882	1	2	DMSO	0.633220538	51.53312469	7.053213047
PHX2882	1	3	DMSO	0.504043949	51.53312469	7.053213047
PHX2882	1	4	DMSO	0.446793615	51.53312469	7.053213047
PHX2882	1	5	DMSO	0.449775903	51.53312469	7.053213047
PHX2882	1	6	DMSO	0.460642942	51.53312469	7.053213047
PHX2882	1	7	DMSO	0.448398051	51.53312469	7.053213047
PHX2882	1	8	DMSO	0.526498875	51.53312469	7.053213047
PHX2882	1	9	DMSO	0.521356606	51.53312469	7.053213047
PHX2882	1	1	TBZ	0.367560723	33.61504576	11.26190255
PHX2882	1	9	TBZ	0.417567362	33.61504576	11.26190255
PHX2882	1	2	TBZ	0.446192399	33.61504576	11.26190255
PHX2882	1	3	TBZ	0.443633414	33.61504576	11.26190255
PHX2882	1	4	TBZ	0.332154742	33.61504576	11.26190255
PHX2882	1	5	TBZ	0.332448262	33.61504576	11.26190255
PHX2882	1	6	TBZ	0.367875648	33.61504576	11.26190255
PHX2882	1	7	TBZ	0.363361548	33.61504576	11.26190255
PHX2882	1	8	TBZ	0.209729295	33.61504576	11.26190255
CB4856	3	1	DMSO	0.080981183	22.84470926	11.57242706
CB4856	3	10	DMSO	0.449823368	22.84470926	11.57242706
CB4856	3	2	DMSO	0.212271062	22.84470926	11.57242706
CB4856	3	3	DMSO	0.076701077	22.84470926	11.57242706
CB4856	3	4	DMSO	0.317654246	22.84470926	11.57242706
CB4856	3	5	DMSO	0.316889758	22.84470926	11.57242706
CB4856	3	6	DMSO	0.2268674	22.84470926	11.57242706
CB4856	3	7	DMSO	0.126204239	22.84470926	11.57242706
CB4856	3	8	DMSO	0.243385491	22.84470926	11.57242706
CB4856	3	9	DMSO	0.233693102	22.84470926	11.57242706
N2	3	1	DMSO	0.507580446	50.54786421	8.598482099
N2	3	10	DMSO	0.583954406	50.54786421	8.598482099
N2	3	2	DMSO	0.357950024	50.54786421	8.598482099
N2	3	3	DMSO	0.521371262	50.54786421	8.598482099
N2	3	4	DMSO	0.57037037	50.54786421	8.598482099
N2	3	5	DMSO	0.340463749	50.54786421	8.598482099
N2	3	6	DMSO	0.51810089	50.54786421	8.598482099
N2	3	7	DMSO	0.562547849	50.54786421	8.598482099
N2	3	8	DMSO	0.536658541	50.54786421	8.598482099
N2	3	9	DMSO	0.555788884	50.54786421	8.598482099
PHX2701	3	1	DMSO	0.146583851	24.207309	11.88197621
PHX2701	3	10	DMSO	0.295595195	24.207309	11.88197621
PHX2701	3	2	DMSO	0.364867043	24.207309	11.88197621
PHX2701	3	3	DMSO	0.336962225	24.207309	11.88197621
PHX2701	3	5	DMSO	0.418954647	24.207309	11.88197621
PHX2701	3	6	DMSO	0.090618454	24.207309	11.88197621
PHX2701	3	7	DMSO	0.243478261	24.207309	11.88197621
PHX2701	3	8	DMSO	0.10809164	24.207309	11.88197621
PHX2701	3	9	DMSO	0.173506494	24.207309	11.88197621
PHX2882	3	1	DMSO	0.427714857	30.03272158	12.7476646
PHX2882	3	10	DMSO	0.097761685	30.03272158	12.7476646
PHX2882	3	2	DMSO	0.252333541	30.03272158	12.7476646
PHX2882	3	3	DMSO	0.330662064	30.03272158	12.7476646
PHX2882	3	4	DMSO	0.446179402	30.03272158	12.7476646
PHX2882	3	5	DMSO	0.434479554	30.03272158	12.7476646
PHX2882	3	6	DMSO	0.31338968	30.03272158	12.7476646
PHX2882	3	7	DMSO	0.12938856	30.03272158	12.7476646
PHX2882	3	8	DMSO	0.271035599	30.03272158	12.7476646
PHX2882	3	9	DMSO	0.24351455	30.03272158	12.7476646
CB4856	5	1	DMSO	0.166972057	21.61699524	12.86828862
CB4856	5	10	DMSO	0.198724578	21.61699524	12.86828862
CB4856	5	2	DMSO	0.184418146	21.61699524	12.86828862
CB4856	5	3	DMSO	0.321337199	21.61699524	12.86828862
CB4856	5	4	DMSO	0.083583325	21.61699524	12.86828862
CB4856	5	5	DMSO	0.21204107	21.61699524	12.86828862
CB4856	5	6	DMSO	0.325315551	21.61699524	12.86828862
CB4856	5	7	DMSO	0.436278008	21.61699524	12.86828862
CB4856	5	8	DMSO	0.016859638	21.61699524	12.86828862
CB4856	5	9	DMSO	0.050601938	21.61699524	12.86828862
CB4856	5	1	TBZ	0.086815359	9.282017944	5.737098662
CB4856	5	10	TBZ	0.127990248	9.282017944	5.737098662
CB4856	5	2	TBZ	0.146107359	9.282017944	5.737098662
CB4856	5	3	TBZ	0.172029703	9.282017944	5.737098662
CB4856	5	4	TBZ	0.150557621	9.282017944	5.737098662
CB4856	5	5	TBZ	0.020747351	9.282017944	5.737098662
CB4856	5	6	TBZ	0.054458816	9.282017944	5.737098662
CB4856	5	7	TBZ	0.036291771	9.282017944	5.737098662
CB4856	5	8	TBZ	0.040383387	9.282017944	5.737098662
CB4856	5	9	TBZ	0.141639164	9.282017944	5.737098662
N2	5	1	DMSO	0.408951668	38.75700558	7.564850948
N2	5	10	DMSO	0.426651913	38.75700558	7.564850948
N2	5	2	DMSO	0.439903846	38.75700558	7.564850948
N2	5	3	DMSO	0.38448735	38.75700558	7.564850948
N2	5	4	DMSO	0.279379157	38.75700558	7.564850948
N2	5	5	DMSO	0.519295415	38.75700558	7.564850948
N2	5	6	DMSO	0.395584989	38.75700558	7.564850948
N2	5	7	DMSO	0.285714286	38.75700558	7.564850948
N2	5	8	DMSO	0.348161878	38.75700558	7.564850948
N2	5	9	DMSO	0.404323693	38.75700558	7.564850948
N2	5	1	TBZ	0.475	44.05367213	8.854294859
N2	5	10	TBZ	0.453986333	44.05367213	8.854294859
N2	5	2	TBZ	0.4189457	44.05367213	8.854294859
N2	5	3	TBZ	0.570208901	44.05367213	8.854294859
N2	5	4	TBZ	0.35310955	44.05367213	8.854294859
N2	5	5	TBZ	0.437566138	44.05367213	8.854294859
N2	5	6	TBZ	0.570886762	44.05367213	8.854294859
N2	5	7	TBZ	0.331881252	44.05367213	8.854294859
N2	5	8	TBZ	0.353245856	44.05367213	8.854294859
N2	5	9	TBZ	0.393654167	44.05367213	8.854294859
PHX2701	5	1	DMSO	0.255423099	35.85391432	11.9275094
PHX2701	5	10	DMSO	0.377089783	35.85391432	11.9275094
PHX2701	5	2	DMSO	0.456231252	35.85391432	11.9275094
PHX2701	5	3	DMSO	0.294259334	35.85391432	11.9275094
PHX2701	5	4	DMSO	0.481758187	35.85391432	11.9275094
PHX2701	5	5	DMSO	0.421929426	35.85391432	11.9275094
PHX2701	5	6	DMSO	0.519107463	35.85391432	11.9275094
PHX2701	5	7	DMSO	0.223961661	35.85391432	11.9275094
PHX2701	5	8	DMSO	0.197092084	35.85391432	11.9275094
PHX2701	5	9	DMSO	0.431734317	35.85391432	11.9275094
PHX2701	5	1	TBZ	0.06324854	6.9952533	5.351245158
PHX2701	5	10	TBZ	0.053621561	6.9952533	5.351245158
PHX2701	5	2	TBZ	0.025801891	6.9952533	5.351245158
PHX2701	5	3	TBZ	0.048349057	6.9952533	5.351245158
PHX2701	5	4	TBZ	0.050379198	6.9952533	5.351245158
PHX2701	5	5	TBZ	0.041516652	6.9952533	5.351245158
PHX2701	5	6	TBZ	0.171474359	6.9952533	5.351245158
PHX2701	5	7	TBZ	0.024106852	6.9952533	5.351245158
PHX2701	5	8	TBZ	0.151074687	6.9952533	5.351245158
PHX2701	5	9	TBZ	0.036573856	6.9952533	5.351245158
PHX2882	5	1	DMSO	0.080262642	16.70288516	8.099873271
PHX2882	5	10	DMSO	0.292815534	16.70288516	8.099873271
PHX2882	5	2	DMSO	0.158106638	16.70288516	8.099873271
PHX2882	5	3	DMSO	0.206766392	16.70288516	8.099873271
PHX2882	5	4	DMSO	0.162956888	16.70288516	8.099873271
PHX2882	5	5	DMSO	0.05443038	16.70288516	8.099873271
PHX2882	5	6	DMSO	0.169230769	16.70288516	8.099873271
PHX2882	5	7	DMSO	0.272354638	16.70288516	8.099873271
PHX2882	5	8	DMSO	0.106335783	16.70288516	8.099873271
PHX2882	5	9	DMSO	0.129573171	16.70288516	8.099873271
PHX2882	5	1	TBZ	0.095268645	21.07146107	19.67890645
PHX2882	5	10	TBZ	0.152305904	21.07146107	19.67890645
PHX2882	5	2	TBZ	0.584991383	21.07146107	19.67890645
PHX2882	5	3	TBZ	0.52259887	21.07146107	19.67890645
PHX2882	5	4	TBZ	0.094824882	21.07146107	19.67890645
PHX2882	5	5	TBZ	0.100919681	21.07146107	19.67890645
PHX2882	5	6	TBZ	0.07615415	21.07146107	19.67890645
PHX2882	5	7	TBZ	0.117949866	21.07146107	19.67890645
PHX2882	5	8	TBZ	0.151418115	21.07146107	19.67890645
PHX2882	5	9	TBZ	0.142315607	21.07146107	19.67890645
CB4856	7	1	DMSO	0.030971574	20.32451034	13.13728304
CB4856	7	10	DMSO	0.106588334	20.32451034	13.13728304
CB4856	7	2	DMSO	0.223155286	20.32451034	13.13728304
CB4856	7	3	DMSO	0.245156618	20.32451034	13.13728304
CB4856	7	4	DMSO	0.187372331	20.32451034	13.13728304
CB4856	7	5	DMSO	0.198734177	20.32451034	13.13728304
CB4856	7	6	DMSO	0.417218543	20.32451034	13.13728304
CB4856	7	7	DMSO	0.36929761	20.32451034	13.13728304
CB4856	7	8	DMSO	0.050711458	20.32451034	13.13728304
CB4856	7	9	DMSO	0.264705882	20.32451034	13.13728304
CB4856	7	1	TBZ	0.037964237	5.676205967	4.070028502
CB4856	7	10	TBZ	0.079053254	5.676205967	4.070028502
CB4856	7	2	TBZ	0.016252739	5.676205967	4.070028502
CB4856	7	3	TBZ	0.080010528	5.676205967	4.070028502
CB4856	7	4	TBZ	0.137793531	5.676205967	4.070028502
CB4856	7	5	TBZ	0.013761468	5.676205967	4.070028502
CB4856	7	6	TBZ	0.053740876	5.676205967	4.070028502
CB4856	7	7	TBZ	0.074162909	5.676205967	4.070028502
CB4856	7	8	TBZ	0.018118995	5.676205967	4.070028502
CB4856	7	9	TBZ	0.071376166	5.676205967	4.070028502
N2	7	1	DMSO	0.457556936	37.62659576	7.434247461
N2	7	10	DMSO	0.235107422	37.62659576	7.434247461
N2	7	2	DMSO	0.34421365	37.62659576	7.434247461
N2	7	3	DMSO	0.396620848	37.62659576	7.434247461
N2	7	4	DMSO	0.318770875	37.62659576	7.434247461
N2	7	5	DMSO	0.454576387	37.62659576	7.434247461
N2	7	6	DMSO	0.427564792	37.62659576	7.434247461
N2	7	7	DMSO	0.421646977	37.62659576	7.434247461
N2	7	8	DMSO	0.330335731	37.62659576	7.434247461
N2	7	9	DMSO	0.409848042	37.62659576	7.434247461
N2	7	1	TBZ	0.491777188	45.89597251	9.506437826
N2	7	10	TBZ	0.39968321	45.89597251	9.506437826
N2	7	2	TBZ	0.555660023	45.89597251	9.506437826
N2	7	3	TBZ	0.617621402	45.89597251	9.506437826
N2	7	4	TBZ	0.49227584	45.89597251	9.506437826
N2	7	5	TBZ	0.332831577	45.89597251	9.506437826
N2	7	6	TBZ	0.481520591	45.89597251	9.506437826
N2	7	7	TBZ	0.418814621	45.89597251	9.506437826
N2	7	8	TBZ	0.340453074	45.89597251	9.506437826
N2	7	9	TBZ	0.324059392	45.89597251	9.506437826
PHX2701	7	1	DMSO	0.479090242	23.95249632	13.11948582
PHX2701	7	10	DMSO	0.132795389	23.95249632	13.11948582
PHX2701	7	2	DMSO	0.265256306	23.95249632	13.11948582
PHX2701	7	3	DMSO	0.344070097	23.95249632	13.11948582
PHX2701	7	4	DMSO	0.151973819	23.95249632	13.11948582
PHX2701	7	5	DMSO	0.099884925	23.95249632	13.11948582
PHX2701	7	6	DMSO	0.229830223	23.95249632	13.11948582
PHX2701	7	7	DMSO	0.104510695	23.95249632	13.11948582
PHX2701	7	8	DMSO	0.348312973	23.95249632	13.11948582
PHX2701	7	9	DMSO	0.315055762	23.95249632	13.11948582
PHX2701	7	1	TBZ	0.015923567	2.543858722	2.208063165
PHX2701	7	10	TBZ	0.0157966	2.543858722	2.208063165
PHX2701	7	2	TBZ	0.04394572	2.543858722	2.208063165
PHX2701	7	3	TBZ	0.015887324	2.543858722	2.208063165
PHX2701	7	4	TBZ	0.076172231	2.543858722	2.208063165
PHX2701	7	5	TBZ	0.028311872	2.543858722	2.208063165
PHX2701	7	6	TBZ	0.011151353	2.543858722	2.208063165
PHX2701	7	7	TBZ	0.004839374	2.543858722	2.208063165
PHX2701	7	8	TBZ	0.016919244	2.543858722	2.208063165
PHX2701	7	9	TBZ	0.007548357	2.543858722	2.208063165
PHX2882	7	1	DMSO	0.094906295	22.66388093	14.50355416
PHX2882	7	10	DMSO	0.449172577	22.66388093	14.50355416
PHX2882	7	2	DMSO	0.382101056	22.66388093	14.50355416
PHX2882	7	3	DMSO	0.064535769	22.66388093	14.50355416
PHX2882	7	4	DMSO	0.108788014	22.66388093	14.50355416
PHX2882	7	5	DMSO	0.132738233	22.66388093	14.50355416
PHX2882	7	6	DMSO	0.219844694	22.66388093	14.50355416
PHX2882	7	7	DMSO	0.195903105	22.66388093	14.50355416
PHX2882	7	8	DMSO	0.391759541	22.66388093	14.50355416
PHX2882	7	9	DMSO	0.196924306	22.66388093	14.50355416
PHX2882	7	1	TBZ	0.039563918	5.582626867	3.712902233
PHX2882	7	10	TBZ	0.045279383	5.582626867	3.712902233
PHX2882	7	2	TBZ	0.093895037	5.582626867	3.712902233
PHX2882	7	3	TBZ	0.05578648	5.582626867	3.712902233
PHX2882	7	4	TBZ	0.008745476	5.582626867	3.712902233
PHX2882	7	5	TBZ	0.044342508	5.582626867	3.712902233
PHX2882	7	6	TBZ	0.116911086	5.582626867	3.712902233
PHX2882	7	7	TBZ	0.010037412	5.582626867	3.712902233
PHX2882	7	8	TBZ	0.087875118	5.582626867	3.712902233
PHX2882	7	9	TBZ	0.132217287	5.582626867	3.712902233