strain	Thiabendazole_mean.TOF	mean_norm	cbn2	cypvartype	cypben1type
BRC20067	0.00643338722298648	0.6325063227288162	neither	K267	K267_b1
BRC20263	-6.98896049111827	0.574402811234578	neither	K267E	K267E_nob1
CB4852	33.873213855788	0.9138026875154562	neither	K267	K267_nob1
CB4854	23.7143675661907	0.8294236443305741	neither	K267	K267_nob1
CB4856	9.40909460866867	0.7106045176064779	CB4856	K267E	K267E_b1
CB4932	28.2979087242885	0.8674943864496726	neither	K267	K267_nob1
CX11262	-50.9746048186681	0.2090594960168112	neither	K267D	K267D_nob1
CX11264	-53.5038279051659	0.1880518522395513	neither	K267D	K267D_nob1
CX11271	10.3074962140539	0.7180666117948499	neither	K267	K267_b1
CX11276	1.97906239274844	0.6488909143743683	neither	K267	K267_nob1
CX11285	2.8585252262316	0.6561957037461658	neither	K267	K267_nob1
CX11292	20.5054239047834	0.8027702638122561	neither	K267	K267_nob1
CX11314	-33.0252343330462	0.3581463769649601	neither	K267D	K267D_nob1
DL200	6.15623433907111	0.683586367184828	neither	K267	K267_nob1
DL226	10.6856279973921	0.7212073619515427	neither	K267	K267_nob1
DL238	-27.7117916289648	0.40227965732054394	neither	K267D	K267D_nob1
ECA189	-30.5820115474709	0.37843970507107105	neither	K267D	K267D_nob1
ECA248	6.15173243774687	0.6835489745404841	neither	K267	K267_nob1
ECA250	-4.46322671729343	0.5953814728955302	neither	K267	K267_nob1
ECA251	2.04864099369823	0.6494688319456083	neither	K267	K267_nob1
ECA259	-39.8976039517994	0.30106470092493076	neither	K267	K267_nob1
ECA348	7.55578561857161	0.695210994084967	neither	K267D	K267D_b1
ECA349	-2.71723512743481	0.6098836216200347	neither	K267	K267_nob1
ECA36	-31.771532926924	0.36855957961342006	neither	K267D	K267D_nob1
ECA369	-25.7590340014992	0.41849919795344576	neither	K267D	K267D_nob1
ECA372	-62.3310906487214	0.11473289819597209	neither	K267D	K267D_nob1
ED3005	1.11993433671354	0.6417550249953011	neither	K267D	K267D_b1
ED3011	43.3810093973259	0.9927741245982252	neither	K267	K267_b1
ED3012	-17.2875566205806	0.4888630104757649	neither	K267	K267_b1
ED3017	17.3152201717171	0.7762725365224338	neither	K267	K267_nob1
ED3040	8.61639364559767	0.7040203694769647	neither	K267	K267_nob1
ED3046	2.57675340362271	0.6538553162542764	neither	K267	K267_nob1
ED3048	7.05902398598416	0.6910849083018195	neither	K267	K267_nob1
ED3049	2.75278207125604	0.6553174045785402	neither	K267	K267_nob1
ED3052	23.2496522791345	0.8255637344394929	neither	K267	K267_nob1
ED3073	0.0574598456048535	0.6329301468140162	neither	K267	K267_nob1
ED3077	-2.91535467867978	0.6082380471430011	neither	K267	K267_nob1
EG4349	8.89004976282958	0.7062933481868958	neither	K267E	K267E_nob1
EG4724	-48.2185069586855	0.2319515542013485	neither	K267D	K267D_b1
EG4725	-1.02378688241478	0.623949347050316	neither	K267D	K267D_nob1
EG4946	17.943811128925	0.781493592340375	neither	K267	K267_b1
GXW1	-15.8352092554823	0.5009261599265612	neither	K267	K267_b1
JT11398	15.9626861151966	0.7650384331300996	neither	K267	K267_nob1
JU1088	18.4219345961123	0.7854648701346668	neither	K267	K267_b1
JU1172	5.57785836023049	0.6787823953257731	neither	K267	K267_nob1
JU1200	23.3944851272009	0.8267667113123784	neither	K267	K267_nob1
JU1213	14.1069983767085	0.7496251518026832	neither	K267E	K267E_nob1
JU1242	14.167443323848	0.7501272055457558	neither	K267	K267_nob1
JU1249	10.1089562724056	0.7164175455689518	neither	K267	K267_nob1
JU1395	1.17200756137382	0.6421875434867843	neither	K267	K267_b1
JU1409	2.95796727270119	0.6570216661137668	neither	K267	K267_nob1
JU1440	-9.58913494687541	0.5528058477176455	neither	K267	K267_nob1
JU1491	30.9880822631549	0.8898388793910883	neither	K267	K267_nob1
JU1530	4.42526221884263	0.6692089696811224	neither	K267	K267_nob1
JU1543	20.4254416882538	0.8021059341521564	neither	K267	K267_nob1
JU1568	36.1374955036189	0.932609736416344	neither	K267	K267_nob1
JU1580	-17.9008095837805	0.4837693515316298	neither	K267E	K267E_nob1
JU1581	25.5656116010248	0.8448000164015816	neither	K267	K267_nob1
JU1652	-4.96099363033408	0.5912470372859991	neither	K267E	K267E_nob1
JU1666	14.5113802655328	0.7529839344722498	neither	K267	K267_nob1
JU1792	12.9861953205128	0.7403157984780515	neither	K267	K267_nob1
JU1793	-16.2335124691411	0.4976178665330083	neither	K267E	K267E_nob1
JU1808	-29.8943729578511	0.38415120858191115	neither	K267	K267_b1
JU1896	32.192074156262	0.8998391964592541	neither	K267	K267_nob1
JU1934	6.22724794828218	0.684176203887493	neither	K267	K267_nob1
JU2001	-7.62634618250096	0.5691087066438157	neither	K267E	K267E_nob1
JU2007	14.483891816664	0.7527556163199649	neither	K267	K267_nob1
JU2016	6.66311362125284	0.6877964898327642	neither	K267	K267_nob1
JU2017	16.6680709470577	0.7708973363453708	neither	K267	K267_nob1
JU2106	-30.8025704745044	0.37660774987670725	neither	K267E	K267E_nob1
JU2131	-2.94030276215462	0.608030829182133	neither	K267	K267_nob1
JU2141	-6.30257645531369	0.5801038944626878	neither	K267	K267_nob1
JU2234	0.738540363349747	0.6385871791955402	neither	K267	K267_nob1
JU2250	16.2148900292012	0.7671332305455287	neither	K267	K267_nob1
JU2257	12.1359632550213	0.7332537989038732	neither	K267	K267_nob1
JU2464	34.0637230310287	0.9153850504596827	neither	K267	K267_nob1
JU2466	1.34696727989686	0.6436407531548928	neither	K267	K267_nob1
JU2513	8.71618276555789	0.7048492146255645	neither	K267	K267_nob1
JU2522	2.48768515132577	0.6531155182799079	neither	K267E	K267E_nob1
JU2526	-1.87853215376061	0.6168498609367385	neither	K267D	K267D_nob1
JU2534	15.1758117693939	0.7585026806919953	neither	K267	K267_nob1
JU2565	-1.12329155920147	0.6231228644773609	neither	K267	K267_nob1
JU2566	12.8075712222742	0.738832152592537	neither	K267	K267_nob1
JU2570	21.8800470601281	0.8141878385329745	neither	K267	K267_nob1
JU2572	3.13178953154868	0.6584654280792179	neither	K267	K267_nob1
JU2575	7.0581267503421	0.6910774558920841	neither	K267	K267_nob1
JU2576	-76.1444006026997	0	neither	Varnot267	varnot267_nob1
JU2578	9.35598205516833	0.7101633664838299	neither	K267	K267_nob1
JU2581	21.3112967916252	0.8094638175074214	neither	K267	K267_b1
JU2586	-60.7952877689361	0.12748922640713622	neither	K267D	K267D_nob1
JU2587	-0.591505970108026	0.6275398580914057	neither	K267	K267_b1
JU2593	29.083934178805	0.8740230880246713	neither	K267	K267_b1
JU2600	6.93200419583056	0.6900298861021352	neither	K267	K267_nob1
JU2610	-5.24783025447503	0.5888645817191521	neither	K267	K267_nob1
JU2619	-23.2094474810088	0.4396759797437509	neither	K267E	K267E_nob1
JU2800	1.71994422945553	0.6467386874317411	neither	K267	K267_nob1
JU2811	-8.59058532768779	0.5610997680150672	neither	K267E	K267E_nob1
JU2825	-5.08254255716546	0.5902374558971477	neither	K267	K267_nob1
JU2829	17.6801294744777	0.7793034611902999	neither	K267	K267_b1
JU2838	-53.0810866100881	0.19156312753366903	neither	K267D	K267D_nob1
JU2841	25.9176761863417	0.847724253268788	neither	K267	K267_nob1
JU2853	22.8689629551848	0.8224017414345915	neither	K267	K267_nob1
JU2862	-27.2374064615969	0.4062198849194783	neither	K267	K267_b1
JU2866	5.86594472365362	0.6811752311859975	neither	K267	K267_nob1
JU2878	-48.7507023472489	0.2275311568063835	neither	K267D	K267D_nob1
JU2879	-18.8281259392457	0.4760670923800202	neither	K267D	K267D_nob1
JU2906	18.8660535877222	0.7891537078731266	neither	K267	K267_nob1
JU2907	20.9236851488907	0.8062443279503494	neither	K267	K267_nob1
JU310	41.9101621512228	0.9805573157442133	neither	K267	K267_nob1
JU311	9.30149566380968	0.7097108043091125	neither	K267	K267_nob1
JU3125	-14.301101735638	0.5136684065338111	neither	K267E	K267E_b1
JU3127	-5.21876009729852	0.5891060374886228	neither	K267E	K267E_nob1
JU3128	38.4534743708139	0.9518461807210906	neither	K267	K267_nob1
JU3132	-7.36986891516009	0.5712389983915171	neither	K267E	K267E_nob1
JU3134	22.517217027711	0.8194801513289502	neither	K267	K267_nob1
JU3135	-22.6312900387528	0.44447813644512113	neither	K267	K267_b1
JU3137	3.60208929722093	0.6623717224660259	neither	K267	K267_nob1
JU3140	24.4004287573539	0.83512204602171	neither	K267	K267_nob1
JU3144	-22.3137850471763	0.44711532246328967	neither	K267E	K267E_nob1
JU323	9.51784795010192	0.7115078192838243	neither	K267	K267_nob1
JU346	-7.10251932302717	0.5734595953113804	neither	K267	K267_b1
JU360	6.03739899388823	0.6825993247159068	neither	K267D	K267D_b1
JU367	-17.5602700065104	0.4865978620610252	neither	K267	K267_nob1
JU393	5.95123117795942	0.6818836176706244	neither	K267E	K267E_nob1
JU394	5.99252128730342	0.6822265719609176	neither	K267	K267_nob1
JU397	39.4293481742246	0.9599517564384147	neither	K267	K267_nob1
JU406	13.8714117969994	0.7476683774194139	neither	K267	K267_nob1
JU440	7.12924844536524	0.6916681903519494	neither	K267	K267_nob1
JU561	38.3303170354687	0.9508232399440195	neither	K267	K267_nob1
JU642	29.9687820981805	0.8813726057427899	neither	K267	K267_nob1
JU751	-26.949681080455	0.4086097224727465	neither	K267E	K267E_b1
JU774	-28.8636310110977	0.39271251729337736	neither	K267D	K267D_nob1
JU775	-23.4989023661298	0.4372717769873109	neither	K267D	K267D_nob1
JU778	17.1088751449166	0.7745586415159492	neither	K267	K267_nob1
JU792	22.6045772752789	0.820205762672211	neither	K267	K267_nob1
JU830	-4.88297711425237	0.5918950399028253	neither	K267	K267_b1
JU847	38.3507490735819	0.9509929477806343	neither	K267	K267_nob1
KR314	3.33668894405803	0.6601673158609425	neither	K267	K267_b1
LKC34	38.8977956734768	0.9555366988485031	neither	K267	K267_nob1
MY1	-0.52345753439856	0.6281050661604827	neither	K267	K267_nob1
MY10	-30.9246339750937	0.37559389445514535	neither	K267E	K267E_nob1
MY16	5.16994902983419	0.6753943138425174	neither	K267D	K267D_b1
MY18	12.2244690945548	0.7339889254963249	neither	K267D	K267D_b1
MY2212	27.1631157139152	0.8580688330257329	neither	K267	K267_nob1
MY23	6.35784992782088	0.6852609796344015	neither	K267D	K267D_b1
MY2453	21.6103250252742	0.8119475361818937	neither	K267	K267_b1
MY2530	5.08127634051017	0.6746578014011929	neither	K267	K267_nob1
MY2535	10.9102988444784	0.72307347061863525	neither	K267	K267_nob1
MY2573	5.17917209370249	0.6754709203076863	neither	K267	K267_nob1
MY2585	22.5299930854095	0.8195862688440246	neither	K267	K267_nob1
MY2693	21.9961020319082	0.8151517873118512	neither	K267	K267_nob1
MY2741	-39.7106082294112	0.30261788124531214	neither	K267D	K267D_nob1
MY518	12.0618691021524	0.732638375306897	neither	K267	K267_b1
MY679	20.0511394178576	0.7989969918040177	neither	K267	K267_b1
MY772	2.17760000536252	0.6505399612553848	neither	K267	K267_nob1
MY920	-0.424738327132356	0.6289250246494325	neither	K267	K267_nob1
N2	-4.08912288923686	0.598488766988122	N2	K267	K267_nob1
NIC1	30.5985100757075	0.886603105614108	neither	K267	K267_nob1
NIC1049	2.60012383689786	0.6540494303044707	neither	K267	K267_nob1
NIC1107	10.2244535793085	0.7173768624016984	neither	K267	K267_b1
NIC166	22.8631710895763	0.8223536343893258	neither	K267	K267_nob1
NIC195	-7.89735752909002	0.5668576953118648	neither	K267E	K267E_nob1
NIC199	4.11035987368142	0.6665934011584854	neither	K267E	K267E_nob1
NIC2	6.64085219348411	0.6876115871458341	neither	K267	K267_nob1
NIC207	17.5227924645727	0.7779966251604106	neither	K267	K267_nob1
NIC231	24.8333069272213	0.8387175178644564	neither	K267	K267_nob1
NIC236	10.3059248494916	0.7180535600924733	neither	K267	K267_nob1
NIC251	-4.43610283763281	0.5956067629479614	neither	K267E	K267E_nob1
NIC252	-9.39112553841423	0.5544505073523391	neither	K267E	K267E_nob1
NIC255	9.97988169033203	0.7153454563351567	neither	K267	K267_nob1
NIC256	-31.1575605834655	0.3736592137063247	neither	K267D	K267D_nob1
NIC258	-28.874918365413	0.3926187648996445	neither	K267D	K267D_nob1
NIC259	19.6650686005966	0.7957903002926552	neither	K267	K267_nob1
NIC260	-31.1038546200119	0.3741052936725288	neither	K267D	K267D_nob1
NIC261	-25.9369193385837	0.41702168819378144	neither	K267D	K267D_nob1
NIC262	-32.9155803125909	0.3590571596526427	neither	K267D	K267D_nob1
NIC266	-44.1845451616612	0.26545750822152403	neither	K267D	K267D_nob1
NIC267	22.7545572765966	0.8214514916307261	neither	K267	K267_nob1
NIC268	-40.3783859168162	0.29707134173509764	neither	K267D	K267D_nob1
NIC269	-3.94068685961986	0.5997216717684681	neither	K267	K267_nob1
NIC271	-32.048993636197	0.36625500008711814	neither	K267D	K267D_nob1
NIC272	-11.0510508610851	0.5406632222126132	neither	K267	K267_nob1
NIC274	17.4429304215323	0.7773332936573599	neither	K267	K267_nob1
NIC275	13.240373396719	0.7424269932198024	neither	K267	K267_nob1
NIC276	44.2509713540356	1	neither	K267	K267_nob1
NIC277	5.74184387587744	0.680144453625704	neither	K267	K267_nob1
NIC3	1.53719173461666	0.6452207512198362	neither	K267	K267_nob1
NIC501	-23.3042474948061	0.43888857394686226	neither	K267E	K267E_nob1
NIC511	5.20979324919164	0.6757252586181335	neither	K267	K267_nob1
NIC513	5.08927648416952	0.6747242503313247	neither	K267	K267_nob1
NIC514	-23.1577227631294	0.4401056035493735	neither	K267	K267_nob1
NIC522	9.22948417164101	0.7091126792234195	neither	K267	K267_nob1
NIC526	7.38802223414136	0.6938175569311656	neither	K267	K267_nob1
NIC527	21.4177424669569	0.8103479517860209	neither	K267	K267_nob1
NIC528	-23.3441627139224	0.438557039449584	neither	K267D	K267D_nob1
PB303	22.6303056293769	0.8204194615352142	neither	K267	K267_nob1
PS2025	-13.7657359938798	0.5181151367781479	neither	K267D	K267D_b1
QG2075	-47.0118121922852	0.2419743212461975	neither	K267E	K267E_b1
QG556	-8.5232597568572	0.5616589719922332	neither	K267D	K267D_b1
QG557	18.3863820142298	0.7851695715587774	neither	K267	K267_nob1
QW947	-37.8265890501581	0.31826648258797946	neither	K267D	K267D_nob1
QX1212	20.5867948096154	0.8034461278717254	neither	Varnot267	varnot267_b1
QX1233	2.99716559696755	0.657347246105998	neither	K267	K267_b1
QX1791	-24.230372347657	0.4311962113767818	neither	K267D	K267D_nob1
QX1792	-33.4261043345218	0.35481676391621547	neither	K267D	K267D_nob1
QX1793	-2.56866188544894	0.6111176660818041	neither	K267D	K267D_nob1
QX1794	-47.0648340898227	0.24153392310899535	neither	K267D	K267D_nob1
RC301	1.79002131589036	0.6473207454070261	neither	K267	K267_nob1
WN2001	-14.9498200686078	0.5082801733947256	neither	K267E	K267E_nob1
WN2033	-4.40894074708687	0.5958323703787496	neither	K267	K267_b1
WN2050	-20.2564796429919	0.464203233491329	neither	K267E	K267E_nob1
XZ1513	-20.2286826175065	0.46443411467084306	neither	K267D	K267D_nob1
XZ1514	-19.2085809888912	0.4729070452497849	neither	K267E	K267E_nob1
XZ1516	-20.415974631353	0.46287847336335325	neither	K267D	K267D_nob1
